NR_PARTIDO,SG_PARTIDO,NM_PARTIDO
15,MDB,MOVIMENTO DEMOCRÏ¿½TICO BRASILEIRO
10,REPUBLICANOS,REPUBLICANOS
10,REPUBLICANOS,REPUBLICANOS
10,REPUBLICANOS,REPUBLICANOS
77,SOLIDARIEDADE,SOLIDARIEDADE
10,REPUBLICANOS,republicanos
55,PSD,PARTIDO SOCIAL DEMOCRÏ¿½TICO
55,PSD,PARTIDO SOCIAL DEMOCRÏ¿½TICO
55,PSD,PARTIDO SOCIAL DEMOCRÏ¿½TICO
12,PDT,PARTIDO DEMOCRÏ¿½TICO TRABALHISTA
13,PT,PARTIDO DOS TRABALHADORES
28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
36,AGIR,AGIR
36,AGIR,agir
20,PODE,podemos
13,PT,PARTIDO DOS TRABALHADORES
22,PL,PARTIDO LIBERAL
20,PODE,PODEMOS
20,PODE,PODEMOS
20,PODE,PODEMOS
50,PSOL,partido socialismo e liberdade
20,PODE,PODEMOS
20,PODE,podemos
23,CIDADANIA,cidadania
55,PSD,PARTIDO SOCIAL DEMOCRÏ¿½TICO
13,PT,partido dos trabalhadores
10,REPUBLICANOS,republicanos
11,PP,PROGRESSISTAS
70,AVANTE,avante
50,PSOL,PARTIDO SOCIALISMO E LIBERDADE
13,PT,partido dos trabalhadores
13,PT,PARTIDO DOS TRABALHADORES
22,PL,partido liberal
45,PSDB,partido da social democracia brasileira
13,PT,PARTIDO DOS TRABALHADORES
55,PSD,partido social democrï¿½tico
20,PODE,podemos
28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
22,PL,partido liberal
40,PSB,partido socialista brasileiro
28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
10,REPUBLICANOS,republicanos
11,PP,progressistas
40,PSB,partido socialista brasileiro
40,PSB,PARTIDO SOCIALISTA BRASILEIRO
43,PV,PARTIDO VERDE
55,PSD,partido social democrï¿½tico
36,AGIR,AGIR
77,SOLIDARIEDADE,solidariedade
35,PMB,PARTIDO DA MULHER BRASILEIRA
27,DC,DEMOCRACIA CRISTÏ¿½
13,PT,PARTIDO DOS TRABALHADORES
13,PT,PARTIDO DOS TRABALHADORES
13,PT,partido dos trabalhadores
10,REPUBLICANOS,REPUBLICANOS
25,PRD,PARTIDO RENOVAÏ¿½Ï¿½O DEMOCRÏ¿½TICA
55,PSD,PARTIDO SOCIAL DEMOCRÏ¿½TICO
40,PSB,PARTIDO SOCIALISTA BRASILEIRO
40,PSB,PARTIDO SOCIALISTA BRASILEIRO
40,PSB,PARTIDO SOCIALISTA BRASILEIRO
15,MDB,movimento democrï¿½tico brasileiro
55,PSD,PARTIDO SOCIAL DEMOCRÏ¿½TICO
50,PSOL,PARTIDO SOCIALISMO E LIBERDADE
55,PSD,PARTIDO SOCIAL DEMOCRÏ¿½TICO
15,MDB,movimento democrï¿½tico brasileiro
30,NOVO,partido novo
12,PDT,PARTIDO DEMOCRÏ¿½TICO TRABALHISTA
11,PP,progressistas
22,PL,partido liberal
45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
27,DC,democracia cristï¿½
27,DC,DEMOCRACIA CRISTÏ¿½
70,AVANTE,AVANTE
70,AVANTE,avante
55,PSD,PARTIDO SOCIAL DEMOCRÏ¿½TICO
20,PODE,PODEMOS
11,PP,progressistas
43,PV,PARTIDO VERDE
43,PV,PARTIDO VERDE
43,PV,partido verde
43,PV,PARTIDO VERDE
45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
13,PT,partido dos trabalhadores
12,PDT,partido democrï¿½tico trabalhista
22,PL,partido liberal
18,REDE,REDE SUSTENTABILIDADE
25,PRD,partido renovaï¿½ï¿½o democrï¿½tica
10,REPUBLICANOS,REPUBLICANOS
27,DC,DEMOCRACIA CRISTÏ¿½
30,NOVO,PARTIDO NOVO
28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
28,PRTB,partido renovador trabalhista brasileiro
55,PSD,PARTIDO SOCIAL DEMOCRÏ¿½TICO
15,MDB,movimento democrï¿½tico brasileiro
45,PSDB,partido da social democracia brasileira
15,MDB,MOVIMENTO DEMOCRÏ¿½TICO BRASILEIRO
15,MDB,MOVIMENTO DEMOCRÏ¿½TICO BRASILEIRO
22,PL,PARTIDO LIBERAL
15,MDB,MOVIMENTO DEMOCRÏ¿½TICO BRASILEIRO
11,PP,progressistas
13,PT,partido dos trabalhadores
13,PT,PARTIDO DOS TRABALHADORES
20,PODE,podemos
70,AVANTE,AVANTE
10,REPUBLICANOS,REPUBLICANOS
11,PP,PROGRESSISTAS
13,PT,partido dos trabalhadores
77,SOLIDARIEDADE,SOLIDARIEDADE
13,PT,PARTIDO DOS TRABALHADORES
10,REPUBLICANOS,republicanos
10,REPUBLICANOS,republicanos
55,PSD,PARTIDO SOCIAL DEMOCRÏ¿½TICO
77,SOLIDARIEDADE,solidariedade
23,CIDADANIA,cidadania
23,CIDADANIA,cidadania
55,PSD,PARTIDO SOCIAL DEMOCRÏ¿½TICO
45,PSDB,partido da social democracia brasileira
55,PSD,PARTIDO SOCIAL DEMOCRÏ¿½TICO
45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
13,PT,partido dos trabalhadores
10,REPUBLICANOS,REPUBLICANOS
10,REPUBLICANOS,republicanos
10,REPUBLICANOS,REPUBLICANOS
12,PDT,PARTIDO DEMOCRÏ¿½TICO TRABALHISTA
77,SOLIDARIEDADE,SOLIDARIEDADE
45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
50,PSOL,PARTIDO SOCIALISMO E LIBERDADE
55,PSD,partido social democrï¿½tico
12,PDT,partido democrï¿½tico trabalhista
50,PSOL,partido socialismo e liberdade
11,PP,progressistas
70,AVANTE,AVANTE
44,UNIï¿½O,uniï¿½o brasil
35,PMB,PARTIDO DA MULHER BRASILEIRA
44,UNIï¿½O,UNIÏ¿½O BRASIL
13,PT,partido dos trabalhadores
35,PMB,PARTIDO DA MULHER BRASILEIRA
22,PL,partido liberal
13,PT,PARTIDO DOS TRABALHADORES
44,UNIï¿½O,uniï¿½o brasil
10,REPUBLICANOS,REPUBLICANOS
50,PSOL,PARTIDO SOCIALISMO E LIBERDADE
12,PDT,partido democrï¿½tico trabalhista
28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
55,PSD,PARTIDO SOCIAL DEMOCRÏ¿½TICO
44,UNIï¿½O,uniï¿½o brasil
45,PSDB,partido da social democracia brasileira
70,AVANTE,avante
55,PSD,partido social democrï¿½tico
45,PSDB,partido da social democracia brasileira
15,MDB,MOVIMENTO DEMOCRÏ¿½TICO BRASILEIRO
27,DC,DEMOCRACIA CRISTÏ¿½
45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
33,MOBILIZA,mobilizaï¿½ï¿½o nacional
27,DC,democracia cristï¿½
77,SOLIDARIEDADE,solidariedade
44,UNIï¿½O,uniï¿½o brasil
40,PSB,partido socialista brasileiro
40,PSB,partido socialista brasileiro
77,SOLIDARIEDADE,SOLIDARIEDADE
27,DC,DEMOCRACIA CRISTÏ¿½
20,PODE,podemos
40,PSB,partido socialista brasileiro
15,MDB,movimento democrï¿½tico brasileiro
55,PSD,partido social democrï¿½tico
25,PRD,partido renovaï¿½ï¿½o democrï¿½tica
70,AVANTE,avante
13,PT,PARTIDO DOS TRABALHADORES
13,PT,PARTIDO DOS TRABALHADORES
33,MOBILIZA,MOBILIZAÏ¿½Ï¿½O NACIONAL
33,MOBILIZA,mobilizaï¿½ï¿½o nacional
29,PCO,PARTIDO DA CAUSA OPERÏ¿½RIA
45,PSDB,partido da social democracia brasileira
45,PSDB,partido da social democracia brasileira
45,PSDB,partido da social democracia brasileira
55,PSD,partido social democrï¿½tico
55,PSD,partido social democrï¿½tico
55,PSD,partido social democrï¿½tico
28,PRTB,partido renovador trabalhista brasileiro
13,PT,partido dos trabalhadores
13,PT,partido dos trabalhadores
45,PSDB,partido da social democracia brasileira
45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
11,PP,PROGRESSISTAS
13,PT,partido dos trabalhadores
10,REPUBLICANOS,REPUBLICANOS
13,PT,partido dos trabalhadores
25,PRD,partido renovaï¿½ï¿½o democrï¿½tica
45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
35,PMB,PARTIDO DA MULHER BRASILEIRA
23,CIDADANIA,cidadania
12,PDT,PARTIDO DEMOCRÏ¿½TICO TRABALHISTA
45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
13,PT,partido dos trabalhadores
13,PT,partido dos trabalhadores
20,PODE,PODEMOS
70,AVANTE,AVANTE
45,PSDB,partido da social democracia brasileira
36,AGIR,agir
13,PT,PARTIDO DOS TRABALHADORES
77,SOLIDARIEDADE,solidariedade
