CD_CARGO,DS_CARGO
11,PREFEITO
12,VICE-PREFEITO
11,PREFEITO
12,VICE-PREFEITO
11,PREFEITO
11,PREFEITO
11,PREFEITO
12,VICE-PREFEITO
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
11,PREFEITO
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
11,PREFEITO
11,PREFEITO
11,PREFEITO
11,PREFEITO
13,VEREADOR
13,VEREADOR
11,PREFEITO
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
11,PREFEITO
11,PREFEITO
11,PREFEITO
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
13,VEREADOR
11,PREFEITO
